in a city
at a city
in a town
at a town
in a village
at a village
in a resort
at a resort
in a big city
at a big city
in a small town
at a small town
underground
downtown
in the downtown neighborhood
by the street
in the street
by the road
in the road
by the highway
in the highway
by a dirt road
by a bus stop
at a bus stop
by a subway
at a subway
by a train station
at a train station
by a house
in a house
by a hotel
in a hotel
by a apartment
in a apartment
by a castle
in a castle
by a palace
in a palace
by a cabin
in a cabin
by a mansion
in a mansion
by an office
in an office
by a skyscraper
in a skyscraper
by a school
in a school
by a church
in a church
by a supermarket
in a supermarket
by a restaurant
in a restaurant
by a hotel
in a hotel
by a bank
in a bank
by a museum
in a museum
by a library
in a library
by a factory
in a factory
by a church
in a church
by a jail
in a jail
by a prison
in a prison
by a movie theater
in a movie theater
by an amusement park
at an amusement park
by a zoo
at a zoo
by the opera
at the opera
by the circus
at the circus
at a cafe
in a cafe
at a bar
in a bar
at the store
in the store
at a store
in a store
at a bookstore
in a bookstore
at a supermarket
in a supermarket
at a grocery store
in a grocery store
at a gym
in a gym
at a basketball court
by a basketball court
on a soccer field
by a soccer field
at a tennis court
by a tennis court
at a hospital
by a hospital
at the hospital
in the hospital
at a kindergarten class
in a kindergarten class
at a school
in a school
at a university
in a university
at a barbershop
in a barbershop
by a beauty salon
in a beauty salon
by a laundromat
in a laundromat
at a car repair shop
by a car repair shop
at a gas station
by a gas station
by a mountain
on a mountain
by a forest
in a forest
by the jungle
in  the jungle
by the desert
in the desert
by the mountains
in the mountains
by the swamp
in the swamp
by the Nether
in the Nether
by the ocean
in the ocean
by the beach
at the beach
by a lake
in a lake
at a waterfall
by a waterfall
at a park
by a park
at a playground
by a playground
by a river
in a river
by the grass
on the grass
flying in the sky
floating in the sky
floating on the water
underneath the water
floating in outerspace
in outerspace
floating in space
in space
on another planet
on Mars
on the Moon
on a spaceship
by a spaceship
on an airplane
by an airplane
in a helicopter
by a helicopter
on a boat
by a boat
on a train
by a train
in a car
by a car
on a bicycle
by a bicycle
on a unicycle
by a unicycle
on a motorcycle
by a motorcycle
on a bus
by a bus
