Abraham Lincoln
an activist
an actor
actress
Adam Sandler
Adam Smith
Adam West
an administrator
Adolf Eichmann
Adolf Hitler
Adrian Monk
an adulteress
an adventurer
an advisor
Agent Phil Coulson
Agent Smith
Al Bundy
Al Capone
Al Gore
Al Pacino
Alan Greenspan
Alan Partridge
Alan Sugar
Alan Turing
Albert Einstein
Albus Dumbledore
Alec Baldwin
Alexander the Great
Alfred Hitchcock
Ali G
an alien
Allan Quatermain
Amelia Earhart
Andrew Lloyd Webber
Android
Andy Warhol
Angela Merkel
Angelina Jolie
Ann Coulter
Anna Karenina
Anne Boleyn
Anthony Bourdain
Anton Chekov
Antonio Salieri
Antonio Vivaldi
an apostle
Archeologist
Archie Bunker
architect
Ariel Sharon
aristocrat
Aristotle
Arnold Schwarzenegger
Arthur Conan Doyle
Arthur Dent
an artist
an ascetic
an assassin
an assistant
an astronaut
an astronomer
an atheist
an athlete
Atticus Finch
Audrey Hepburn
Aung San Suu Kyi
Auric Goldfinger
Austin Powers
an autocrat
Ayatollah Khomeini
Ayn Rand
Babe Ruth
a bachelor
Baldrick
Bane
a bank robber
a bankrupt
Barack Obama
a barbarian
a barman
Barney Gumble
Barney Rubble
Barney Stinson
Barry White
Bart Simpson
Baseball player
Basil Fawlty
a basketball player
Batman
Bear Grylls
Ben Affleck
Benedict Arnold
Benito Mussolini
Benjamin Franklin
Benny Hill
Bernard Madoff
Bertie Wooster
Beyoncé
Biff Tannen
a bigot
Bilbo Baggins
Bill Clinton
Bill Cosby
Bill Gates
Bill Murray
Billionaire
Billy Bob Thornton
Billy Crystal
Bing Crosby
Blanche DuBois
Bob Cratchit
Bob Dylan
Bob Marley
Boba Fett
Bobby Fischer
a bodybuilder
Bono
Borat
a bore
Boris Johnson
a boss
bounty hunter
a bowler
a boxer
Brad Pitt
Bradley Manning
Brian Griffin
Brian Wilson
Bridget Jones
Britney Spears
a broker
a brother
Bruce Banner
Bruce Lee
Bruce Springsteen
Bruce Wayne
Bruce Willis
Buck Rogers
Buddha
Bugs Bunny
a bully
a bureaucrat
a business leader
a businessman
Buzz Aldrin
Buzz Lightyear
C-3PO
Cameron Diaz
ca ampaigner
a canary
a cannibal
a capitalist
a captain
Captain Ahab
Captain America
Captain William Bligh
Cardinal Richelieu
Carl Lewis
Carl Sagan
Carl Von Clausewitz
Carrie Bradshaw
Cary Grant
a cat
a caveman
Ceo
Cersei Lannister
Chandler Bing
a charlatan
Charlemagne
Charles Atlas
Charles Darwin
Charles Dickens
Charles Foster Kane
Charles Lindbergh
Charlie Brown
Charlie Chaplin
Charlie Harper
Charlie Parker
Che Guevara
a cheat
a chef
Chelsea Manning
Chess player
Chewbacca
Chief Clarence Wiggum
a child
Christian Bale
Christopher Columbus
Christopher Hitchens
Chuck Norris
Cicero
Clarice Starling
Clark Gable
Clark Kent
Cleopatra
a clerk
Clint Eastwood
a clown
Coco Chanel
Colin Farrell
colonel
Colonel Kurtz
Colonel Sanders
a comedian
Commander Data
Commissioner James Gordon
a communist
a complainer
a composer
a computer
a con man
Conan the Barbarian
Condoleezza Rice
Confucius
a conqueror
a conservative
a convict
a cop
Copernicus
Cosmo Kramer
a counsellor
Count Dracula
Courtney Love
a cowboy
a coyote
a crab
a crank
a criminal
Croesus
a crooner
a curmudgeon
Cyborg
Cyclist
Daffy Duck
Dame Edna Everage
a damsel
Dan Brown
Dan Quayle
Dana Scully
a dancer
Daniel Boone
Daniel Craig
Daniel Day-Lewis
Dante Alighieri
Daphne Moon
a daredevil
Darth Maul
Darth Vader
a daughter
David Beckham
David Blaine
David Bowie
David Byrne
David Caruso
David Hasselhoff
David Lee Roth
David Letterman
David Lynch
David Mamet
Davy Crockett
a deadbeat
Dean Martin
Dean Winchester
a debtor
Deepak Chopra
Del Boy Trotter
a demon
Derek Zoolander
a designer
a despot
a detective
a developer
a devil
the Devil
Dexter Morgan
Dian Fossey
a diarist
Dick Cheney
a dictator
a director
Dirty Harry Callahan
a disciplinarian
a discoverer
a dissident
a district attorney
a divorcee
Doc Emmett Brown
a doctor
a dog
Dolly Parton
Dominique Strauss-Kahn
Don Draper
Don King
Don Vito Corleone
Donald Duck
Donald Rumsfeld
Donald Trump
Dorian Gray
Doris Day
Dorothy Parker
Dr. Eldon Tyrell
Dr. Evil
Dr. Greg House
Dr. Henry Jekyll
Dr. John Watson
Dr. Julius No
Dr. Strangelove
a dreamer
a drifter
a driver
a drummer
a duck
a dwarf
E.T.
Ebenezer Scrooge
an economist
Ed Wood
Eddard Stark
Eddie Murphy
Eddie Van Halen
Eddy Merckx
Edith Piaf
Edmund Blackadder
Edna Krabappel
Edward Cullen
Edward Hopper
Edward Scissorhands
Edward Snowden
Eliot Ness
an elf
Elizabeth Taylor
Ella Fitzgerald
Ellen Ripley
Elmer Fudd
Elmore Leonard
Elton John
Elvis Presley
an embezzler
Emily Dickinson
Eminem
Emma Bovary
an emperor
Emperor Caligula
Emperor Constantine
Emperor Palpatine
an engineer
Enrico Caruso
an entertainer
Erasmus
Eric Cartman
Eric Clapton
Ernest Hemingway
Ernst Stavro Blofeld
Errol Flynn
Euclid
Evel Knievel
an executive
an exile
an explorer
Fagin
a fascist
Fashion designer
Fashion model
a father
Federico Fellini
a feminist
a fence
Fidel Castro
a fighter
Flash Gordon
Fletcher Christian
Florence Nightingale
a fool
a footballer
a forecaster
a foreigner
Forrest Gump
Fox Mulder
Francis Bacon
Francis Crick
Frank Capra
Frank Columbo
Frank Gehry
Frank Lloyd Wright
Frank Sinatra
Frank Zappa
Franz Liszt
Frasier Crane
a freak
Fred Astaire
Fred Flintstone
Freddy Krueger
Fredo Corleone
Frida Kahlo
Friend
Frodo Baggins
Frontiersman
a fugitive
Gandalf the Grey
Garry Kasparov
Garry Trudeau
Garth Brooks
Gary Larson
a geek
General
General George Patton
General Zod
Genghis Khan
a genius
a gentleman
George Bernard Shaw
George Clooney
George Costanza
George Foreman
George Harrison
George McFly
George Orwell
George Smiley
George Soros
George W. Bush
George Washington
Gerard Manley Hopkins
Giacomo Casanova
a girlfriend
a gladiator
Glenn Beck
Glenn Quagmire
Gloria Steinem
God
a god
a Greek god
a Greek godess
a Greek demigod
a Greek hero
a Roman god
Gordon Gekko
Gordon Ramsay
Gore Vidal
Grace Kelly
Greta Garbo
Grigori Rasputin
Groot
Groucho Marx
Groundskeeper Willie MacDougal
a grump
Guitarist
a guru
Gustavo Fring
Gwyneth Paltrow
H.A.L. 9000
H.P. Lovecraft
a hacker
Hamlet
Han Solo
Hannibal Lecter
Hans Gruber
Hans Moleman
Harry Houdini
Harry Potter
Harvey Dent
Heath Ledger
Hedonist
Helen Keller
Hellboy
a helper
Henry Ford
Henry James
Henry Kissinger
Henry Miller
Hercule Poirot
Hermione Granger
a hero
Herodotus
a heroine
Hillary Clinton
a hippie
a historian
Homer
Homer Simpson
a host
Howard Hughes
Howard Stern
Huckleberry Finn
Hugh Grant
Hugh Hefner
Hugh Jackman
Hulk Hogan
a humanist
a humorist
Humphrey Bogart
Hunter
a husband
Iggy Pop
Imelda Marcos
Indiana Jones
an informant
Inspector Clouseau
Inspector Endeavour Morse
Inspector Gadget
an intellectual
an invalid
an inventor
an investor
J. Edgar Hoover
JD Salinger
Jabba the Hutt
Jack Bauer
Jack Donaghy
Jack Kerouac
Jack Nicholson
Jack Reacher
Jack Sparrow
Jack The Ripper
Jackie Chan
Jackson Pollock
Jaime Lannister
James Bond
James Dean
James Franco
James Joyce
James T. Kirk
Jamie Oliver
Jane Austen
Janis Joplin
a janitor
Jar Jar Binks
Jason Bourne
Jason Voorhees
Jay Gatsby
Jay Leno
Jay-Z Carter
Jean-Luc Picard
Jean-Paul Sartre
"Jeff ""Comic Book Guy"" Albertson"
Jeff Koons
"Jeffrey ""The Dude"" Lebowski"
Jenna Jameson
Jenna Maroney
Jeremy Clarkson
Jeremy Paxman
Jerry Lee Lewis
Jerry Lewis
Jerry Seinfeld
Jerry Springer
Jesse Jackson
Jesse Pinkman
Jesus Christ
Jim Carrey
Jim Jones
Jim Morrison
Jimi Hendrix
Jimmy Cagney
Jimmy Carter
Jimmy Stewart
Joan Rivers
Joaquin Phoenix
Joe Biden
Joe Louis
Joey Tribbiani
Johann Sebastian Bach
John Belushi
John Constantine
John Dillinger
John F. Kennedy
John Grisham
John Keats
John Lennon
John Maynard Keynes
John McCain
John McClane
John McEnroe
John Merrick
John Rambo
John Travolta
John Wayne
John Wilkes Booth
Johnny Cash
Jon Stewart
Jonathan Swift
Jor El
Joseph Goebbels
Joseph Stalin
a journalist
Judas Iscariot
a judge
Judge Joe Dredd
Judge Judy Sheindlin
Judy Garland
Julia Child
Julia Roberts
